Course Name,Lecturer Name,Venue,Day of Week,Start Time,End Time,Student Group,Duration,Department
Mathematics 101,Dr. Sarah Smith,Room A-101,Monday,09:00,10:30,Computer Science Year 1,90,Mathematics
Physics 201,Prof. John Johnson,Lab B-202,Monday,11:00,12:30,Physics Year 2,90,Physics
Chemistry 101,Dr. Emily Davis,Lab C-301,Tuesday,14:00,15:30,Chemistry Year 1,90,Chemistry
Mathematics 102,Dr. Sarah Smith,Room A-102,Tuesday,09:00,10:30,Computer Science Year 1,90,Mathematics
English Literature,Ms. Jane Wilson,Room D-401,Wednesday,10:00,11:30,Liberal Arts Year 2,90,English
Computer Programming,Dr. Michael Brown,Computer Lab 1,Wednesday,14:00,16:00,Computer Science Year 1,120,Computer Science
Biology 101,Dr. Lisa Anderson,Lab E-501,Thursday,09:00,10:30,Biology Year 1,90,Biology
History 201,Prof. Robert Taylor,Room F-601,Thursday,11:00,12:30,History Year 2,90,History
Statistics 301,Dr. Sarah Smith,Room A-103,Friday,13:00,14:30,Mathematics Year 3,90,Mathematics
Art Appreciation,Ms. Maria Garcia,Art Studio 1,Friday,15:00,16:30,Fine Arts Year 1,90,Fine Arts
